,brand,model,screen_size,color,harddisk,cpu,ram,OS,graphics,graphics_coprocessor,rating,price,wifi & bluetooth,backlit keyboard,anti-glare,fingerprint,hd audio
3530,Dell,Latitude3520,15.6,Black,256.0,Intel Core i5,32.0,Windows 10,Integrated,Unknown,,916.66,1,0,0,0,0
3531,Dell,Vostro3510,15.6,Black,512.0,Intel Core i7,16.0,Windows 11,Integrated,Unknown,,923.99,1,0,0,0,0
3532,Dell,Latitude5520,15.6,Black,512.0,Intel Core i5,16.0,Windows 10,Integrated,Unknown,,921.16,1,0,0,0,0
3533,Dell,Latitude5520,15.6,Black,256.0,Intel Core i5,16.0,Windows 11,Integrated,Unknown,,844.58,1,0,0,0,0
3535,Dell,Inspiron3511,15.6,Black,512.0,Intel Core i5,32.0,Windows 10,Integrated,Unknown,,688.99,1,0,0,0,0
3536,Dell,Latitude7420,14.0,Unknown,256.0,Intel Core i7,20.0,Windows 10,Unknown,Unknown,,764.99,0,0,0,0,0
3537,Dell,Latitude3520,15.6,Black,4000.0,Intel Core i7,32.0,Windows 10,Integrated,Unknown,,2005.99,1,0,0,0,0
3538,HP,Unknown,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,Integrated,4.5,999.99,0,1,0,0,0
3539,ROKC,Ideapad3,15.6,Gray,1000.0,Intel Core i5,20.0,Windows 11,Integrated,Integrated,,639.99,0,0,0,0,0
3540,Dell,Inspiron,16.0,Silver,1000.0,Intel Core i5,32.0,Windows 11,Integrated,Integrated,,899.99,0,0,0,0,0
3541,MSI,VectorGP6612UGS-267,15.66,Black,1000.0,Intel Core i9,32.0,Windows 11,Dedicated,Unknown,5.0,1599.0,0,0,0,0,0
3542,MSI,StealthGS6612UGS-025,15.6,Black,1000.0,Intel Core i9,32.0,Windows 11,Dedicated,Mid-range GPU,1.0,1699.0,0,0,0,0,0
3543,ROKC,Unknown,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,Integrated,,589.99,0,0,0,0,0
3544,Dell,Inspiron3511,15.6,Black,512.0,Intel Core i5,64.0,Windows 10,Integrated,Unknown,,775.99,1,0,0,0,0
3545,Dell,Latitude7420,14.0,Black,2000.0,Intel Core i7,16.0,Windows 11,Integrated,Unknown,,880.99,1,0,0,0,0
3546,Dell,XPS9510,15.6,Silver,512.0,Intel Core i7,32.0,Windows 10,Dedicated,Unknown,,2860.99,1,0,0,0,0
3548,Dell,Latitude5520,15.6,Black,512.0,Intel Core i5,4.0,Windows 11,Integrated,Unknown,,891.88,1,0,0,0,0
3549,Dell,Inspiron3511,15.6,Black,2000.0,Intel Core i5,16.0,Windows 10,Integrated,Unknown,,755.61,1,0,0,0,0
3550,Dell,Vostro3510,15.6,Black,2000.0,Intel Core i5,32.0,Windows 11,Integrated,Unknown,,877.99,1,0,0,0,0
3551,Dell,XPS9510,15.6,Silver,8000.0,Intel Core i7,16.0,Windows 10,Dedicated,Unknown,,4000.07,1,0,0,0,0
3552,Dell,Inspiron3511,15.6,Black,256.0,Intel Core i5,64.0,Windows 10,Integrated,Unknown,,735.99,1,0,0,0,0
3554,Dell,Inspiron3511,15.6,Black,2000.0,Intel Core i5,64.0,Windows 10,Integrated,Unknown,,876.99,1,0,0,0,0
3555,ROKC,Unknown,15.6,Blue,1152.0,Pentium,20.0,Windows 11,Integrated,Integrated,5.0,389.99,0,0,0,0,0
3556,HP,Unknown,14.0,Gold,64.0,Celeron,16.0,Windows 11,Integrated,Integrated,4.7,389.99,0,0,0,0,0
3557,HP,Unknown,15.6,Black,1000.0,Pentium,16.0,Windows 11,Integrated,Integrated,4.4,459.99,0,0,0,0,0
3559,Dell,Latitude5320,13.3,Black,512.0,Intel Core i5,16.0,Windows 11,Integrated,Unknown,,730.99,1,0,0,0,0
3560,Dell,Inspiron3511,15.6,Black,128.0,Intel Core i5,64.0,Windows 10,Integrated,Unknown,,735.99,1,0,0,0,0
3561,Dell,Latitude3520,15.6,Unknown,512.0,Intel Core i7,20.0,Windows 10,Unknown,Unknown,,1620.99,0,0,0,0,0
3562,Dell,Latitude3520,15.6,Unknown,2000.0,Intel Core i5,20.0,Windows 10,Unknown,Unknown,,1038.28,0,0,0,0,0
3563,Dell,Inspiron3511,15.6,Black,8000.0,Intel Core i5,64.0,Windows 10,Integrated,Unknown,,1933.99,1,0,0,0,0
3564,Dell,Latitude5520,15.6,Black,256.0,Intel Core i7,32.0,Windows 11,Integrated,Unknown,,2407.99,1,0,0,0,0
3565,Dell,Latitude5520,15.6,Black,1000.0,Intel Core i5,64.0,Windows 10,Integrated,Unknown,,1941.99,1,0,0,0,0
3566,Dell,Latitude5520,15.6,Black,1000.0,Intel Core i5,64.0,Windows 11,Integrated,Unknown,,2030.99,1,0,0,0,0
3567,Dell,Latitude5520,15.6,Black,2000.0,Intel Core i5,32.0,Windows 10,Integrated,Unknown,,1038.28,1,0,0,0,0
3568,Dell,Precision7560,15.6,Silver,2000.0,Intel Core i7,64.0,Windows 11 Pro,Dedicated,Unknown,,2389.13,1,0,0,0,0
3569,HP,Unknown,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,Integrated,4.5,999.99,0,1,0,0,0
3570,ROKC,Ideapad3,15.6,Gray,1000.0,Intel Core i5,20.0,Windows 11,Integrated,Integrated,,639.99,0,0,0,0,0
3571,Dell,Inspiron,16.0,Silver,1000.0,Intel Core i5,32.0,Windows 11,Integrated,Integrated,,899.99,0,0,0,0,0
3572,MSI,VectorGP6612UGS-267,15.66,Black,1000.0,Intel Core i9,32.0,Windows 11,Dedicated,Unknown,5.0,1599.0,0,0,0,0,0
3573,MSI,StealthGS6612UGS-025,15.6,Black,1000.0,Intel Core i9,32.0,Windows 11,Dedicated,Mid-range GPU,1.0,1699.0,0,0,0,0,0
3574,ROKC,Unknown,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,Integrated,,589.99,0,0,0,0,0
3575,Dell,Inspiron3511,15.6,Black,2000.0,Intel Core i5,64.0,Windows 10,Integrated,Unknown,,865.7,1,0,0,0,0
3576,Dell,Latitude3520,15.6,Black,2000.0,Intel Core i5,16.0,Windows 11,Integrated,Unknown,,994.35,1,0,0,0,0
3577,Dell,Latitude7420,14.0,Black,2000.0,Intel Core i7,32.0,Windows 11,Integrated,Unknown,,1552.99,1,0,0,0,0
3578,Dell,Inspiron3511,15.6,Black,128.0,Intel Core i5,32.0,Windows 10,Integrated,Unknown,,660.99,1,0,0,0,0
